ProQuest document ID,Author,URL,Title,Publication date,Main Topic A,Main Topic B,Ring,Palestinian Causualty,Lebanese Casualty,Israeli Casualty on Oct 7,Israeli Casualty post Oct 7,Palestinian Suffering,Lebanese Suffering,Israeli Suffering non-October 7,Oct 7 Victim Suffering,Hamas attack   Oct 7,Palestinian Violence Post Oct7,Other Violence against Israel,Israeli Violence,Hostages,Palestinian or Lebanese Personal Suffering,Israeli Personal Suffering (non-Oct 7),Oct 7 Victim Personal Story,Hamas Fighters casualty
3065154806,Anemona Hartocollis    ,https://www.nytimes.com/2024/06/06/us/penn-ban-encampments-campus-protests-gaza.html ,Penn Bans Protest Encampments on Campus †  ,6/7/2024,Campus,Protests,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
3065154779,"Kingsley, Patrick; Shbair, Bilal    ",https://www.nytimes.com/2024/06/06/world/middleeast/israel-gaza-detention-base.html ,Behind Lines Where Israel Takes Gazans †  ,6/7/2024,Palestinian suffering,Israeli prisons,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
3065154774,"Green, Erica L    ",https://www.nytimes.com/2024/06/06/us/politics/naacp-biden-arms-deliveries-israel.html ,N.A.A.C.P. Calls for a Halt To Weapons Sales to Israel †  ,6/7/2024,US Politics,Blank,3,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0
3065154770,"Boxerman, Aaron; Abu Bakr Bashir; Solomon, Erika; Fuller, Thomas    ",https://www.nytimes.com/2024/06/06/world/middleeast/israel-gaza-school-killing.html ,Israelis Attack Civilian Shelter And Kill Dozens †  ,6/7/2024,Gaza,Military Analysis,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
3064814137,"Schmitt, Eric    ",https://www.nytimes.com/2024/06/05/us/politics/us-counterterrorism-chief-resigns.html ,Top Official For Security Is Leaving †  ,6/6/2024,US Politics,Blank,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3064814078,"Knight, Heather    ",https://www.nytimes.com/2024/06/05/us/stanford-protest-israel-gaza.html ,Police Arrest 13 After Protesters Occupied Office of Stanford's President †  ,6/6/2024,Campus,Protests,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3064814077,"Rasgon, Adam; Ward, Euan; Levenson, Michael    ",https://www.nytimes.com/2024/06/05/world/middleeast/biden-israel-hezbollah-gaza.html ,Biden Pushes for Gaza Truce as Tensions Rise in Lebanon †  ,6/6/2024,Lebanon,Military Analysis,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,1
3064814075,"Frenkel, Sheera    ",https://www.nytimes.com/2024/06/05/technology/israel-campaign-gaza-social-media.html ,"Israel, in Secret, Tried to Sway U.S. †  ",6/6/2024,US Politics,Israel-US,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3064814070,"Ward, Euan    ",https://www.nytimes.com/2024/06/05/world/middleeast/us-embassy-lebanon-gun-attack.html ,U.S. Embassy In Lebanon Is Targeted With Gunfire †  ,6/6/2024,Regional,Blank,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3064416143,"Jimison, Robert    ",https://www.nytimes.com/2024/06/04/us/politics/house-vote-icc-israel.html ,House Votes for Sanctions on I.C.C. Officials for Prosecution of Israeli Leaders †  ,6/5/2024,International Court,Blank,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3064416141,"Shbair, Bilal; Yazbek, Hiba; Rasgon, Adam; Levenson, Michael    ",https://www.nytimes.com/2024/06/04/world/middleeast/israel-hamas-ceasefire-proposal-gaza.html ,Anguish as Gaza Waits For a Cease-Fire Deal †  ,6/5/2024,Negotiations,Blank,0,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,1,0
3064416108,"Shear, Michael D; Baker, Peter    ",https://www.nytimes.com/2024/06/04/us/politics/biden-europe-israel-ukraine.html ,"In Europe, Biden Will Find Strife and Solidarity †  ",6/5/2024,World Politics,Blank,4,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0
3063997846,"Patil, Anushka    ",https://www.nytimes.com/2024/06/03/pageoneplus/03rex2.html ,Israel Says 4 Hostages Were Killed Months Ago †  ,6/4/2024,Hostages,Blank,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0
3063997842,"Romero, Simon; Kitroeff, Natalie    ",https://www.nytimes.com/2024/06/03/world/americas/claudia-sheinbaum-jewish-mexico-president.html ,Mexico Hits Another Milestone Its First Jewish President †  ,6/4/2024,World Politics,Blank,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3063997835,"Yee, Vivian; Mekay, Emad; Kershner, Isabel    ",https://www.nytimes.com/2024/06/03/world/middleeast/egypt-corridor-israel-gaza-border.html ,"Israel, Seizing Control Of Gaza Border Zone, Strains Ties With Egypt †  ",6/4/2024,Egypt,Military Analysis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
